,date,time,price
1,4/11/2021,5:00 a.m.,96
2,4/12/2021,8:00 a.m.,92
3,4/12/2021,12:00 p.m.,87
4,4/13/2021,8:00 a.m.,82
5,4/13/2021,12:00 p.m.,79
6,4/14/2021,8:00 a.m.,74
7,4/14/2021,12:00 p.m.,119
8,4/15/2021,8:00 a.m.,96
9,4/15/2021,12:00 p.m.,162
10,4/16/2021,8:00 a.m.,171
11,4/16/2021,12:00 p.m.,160
12,4/17/2021,8:00 a.m.,90
13,4/17/2021,12:00 p.m.,86
14,4/18/2021,5:00 a.m.,109
15,4/19/2021,8:00 a.m.,88
16,4/19/2021,12:00 p.m.,84
17,4/20/2021,8:00 a.m.,80
18,4/20/2021,12:00 p.m.,76
19,4/21/2021,8:00 a.m.,73
20,4/21/2021,12:00 p.m.,68
21,4/22/2021,8:00 a.m.,64
22,4/22/2021,12:00 p.m.,107
23,4/23/2021,8:00 a.m.,126
24,4/23/2021,12:00 p.m.,162
25,4/24/2021,8:00 a.m.,184
26,4/24/2021,12:00 p.m.,174
27,4/25/2021,5:00 a.m.,106
28,4/26/2021,8:00 a.m.,96
29,4/26/2021,12:00 p.m.,91
30,4/27/2021,8:00 a.m.,86
31,4/27/2021,12:00 p.m.,83
32,4/28/2021,8:00 a.m.,79
33,4/28/2021,12:00 p.m.,74
34,4/29/2021,8:00 a.m.,69
35,4/29/2021,12:00 p.m.,65
36,4/30/2021,8:00 a.m.,60
37,4/30/2021,12:00 p.m.,55
38,5/1/2021,8:00 a.m.,51
39,5/1/2021,12:00 p.m.,46
40,5/2/2021,5:00 a.m.,92
41,5/3/2021,8:00 a.m.,81
42,5/3/2021,12:00 p.m.,109
43,5/4/2021,8:00 a.m.,131
44,5/4/2021,12:00 p.m.,525
45,5/5/2021,8:00 a.m.,159
46,5/5/2021,12:00 p.m.,93
49,5/7/2021,8:00 a.m.,38
50,5/7/2021,12:00 p.m.,69
51,5/8/2021,8:00 a.m.,49
52,5/8/2021,12:00 p.m.,40
53,5/9/2021,5:00 a.m.,107
54,5/10/2021,8:00 a.m.,80
55,5/10/2021,12:00 p.m.,99
56,5/11/2021,8:00 a.m.,123
57,5/11/2021,12:00 p.m.,168
58,5/12/2021,8:00 a.m.,183
59,5/12/2021,12:00 p.m.,179
60,5/13/2021,8:00 a.m.,50
61,5/13/2021,12:00 p.m.,46
62,5/14/2021,8:00 a.m.,42
63,5/14/2021,12:00 p.m.,37
64,5/15/2021,8:00 a.m.,32
65,5/15/2021,12:00 p.m.,27
66,5/16/2021,5:00 a.m.,108
67,5/17/2021,8:00 a.m.,94
68,5/17/2021,12:00 p.m.,90
69,5/18/2021,8:00 a.m.,85
70,5/18/2021,12:00 p.m.,82
71,5/19/2021,8:00 a.m.,77
72,5/19/2021,12:00 p.m.,72
73,5/20/2021,8:00 a.m.,67
74,5/20/2021,12:00 p.m.,64
75,5/21/2021,8:00 a.m.,59
76,5/21/2021,12:00 p.m.,55
77,5/22/2021,8:00 a.m.,50
78,5/23/2021,5:00 a.m.,96
79,5/24/2021,8:00 a.m.,86
80,5/24/2021,12:00 p.m.,83
81,5/25/2021,8:00 a.m.,132
82,5/25/2021,12:00 p.m.,139
83,5/26/2021,8:00 a.m.,512
84,5/26/2021,12:00 p.m.,179
85,5/27/2021,8:00 a.m.,107
86,5/27/2021,12:00 p.m.,62
87,5/28/2021,8:00 a.m.,76
88,5/28/2021,12:00 p.m.,83
89,5/29/2021,8:00 a.m.,67
90,5/29/2021,12:00 p.m.,79
91,5/30/2021,5:00 a.m.,98
92,5/31/2021,8:00 a.m.,118
93,5/31/2021,12:00 p.m.,72
94,6/1/2021,8:00 a.m.,64
95,6/1/2021,12:00 p.m.,101
96,6/2/2021,8:00 a.m.,73
97,6/2/2021,12:00 p.m.,68
98,6/3/2021,8:00 a.m.,61
99,6/3/2021,12:00 p.m.,97
100,6/4/2021,8:00 a.m.,90
101,6/4/2021,12:00 p.m.,113
102,6/5/2021,8:00 a.m.,138
103,6/5/2021,12:00 p.m.,98
104,6/6/2021,5:00 a.m.,99
105,6/7/2021,8:00 a.m.,76
106,6/7/2021,12:00 p.m.,72
107,6/8/2021,8:00 a.m.,68
108,6/8/2021,12:00 p.m.,65
109,6/9/2021,8:00 a.m.,60
110,6/9/2021,12:00 p.m.,57
111,6/10/2021,8:00 a.m.,52
112,6/10/2021,12:00 p.m.,126
113,6/11/2021,8:00 a.m.,113
114,6/11/2021,12:00 p.m.,138
115,6/12/2021,8:00 a.m.,149
116,6/12/2021,12:00 p.m.,139
117,6/13/2021,5:00 a.m.,110
118,6/14/2021,8:00 a.m.,96
119,6/14/2021,12:00 p.m.,91
120,6/15/2021,8:00 a.m.,86
121,6/15/2021,12:00 p.m.,81
122,6/16/2021,8:00 a.m.,78
123,6/16/2021,12:00 p.m.,74
124,6/17/2021,8:00 a.m.,69
125,6/17/2021,12:00 p.m.,64
126,6/18/2021,8:00 a.m.,60
127,6/18/2021,12:00 p.m.,55
128,6/19/2021,8:00 a.m.,51
129,6/19/2021,12:00 p.m.,46
130,6/20/2021,5:00 a.m.,98
131,6/21/2021,8:00 a.m.,84
132,6/21/2021,12:00 p.m.,80
133,6/22/2021,8:00 a.m.,77
134,6/22/2021,12:00 p.m.,106
135,6/23/2021,8:00 a.m.,181
136,6/23/2021,12:00 p.m.,392
137,6/24/2021,8:00 a.m.,180
138,6/24/2021,12:00 p.m.,108
139,6/25/2021,8:00 a.m.,57
140,6/25/2021,12:00 p.m.,69
141,6/26/2021,8:00 a.m.,64
142,6/26/2021,12:00 p.m.,71
143,6/27/2021,5:00 a.m.,99
144,6/28/2021,8:00 a.m.,76
145,6/28/2021,12:00 p.m.,72
146,6/29/2021,8:00 a.m.,69
147,6/29/2021,12:00 p.m.,65
148,6/30/2021,8:00 a.m.,62
149,6/30/2021,12:00 p.m.,124
150,7/1/2021,8:00 a.m.,133
151,7/1/2021,12:00 p.m.,156
152,7/2/2021,8:00 a.m.,161
153,7/2/2021,12:00 p.m.,158
154,7/3/2021,8:00 a.m.,60
155,7/3/2021,12:00 p.m.,55
156,7/4/2021,5:00 a.m.,91
157,7/5/2021,8:00 a.m.,78
158,7/5/2021,12:00 p.m.,75
159,7/6/2021,8:00 a.m.,71
160,7/6/2021,12:00 p.m.,68
161,7/7/2021,8:00 a.m.,66
162,7/7/2021,12:00 p.m.,60
163,7/8/2021,8:00 a.m.,55
164,7/8/2021,12:00 p.m.,51
165,7/9/2021,8:00 a.m.,48
166,7/9/2021,12:00 p.m.,44
167,7/10/2021,8:00 a.m.,40
168,7/10/2021,12:00 p.m.,37
169,7/11/2021,5:00 a.m.,99
170,7/12/2021,8:00 a.m.,87
171,7/12/2021,12:00 p.m.,82
172,7/13/2021,8:00 a.m.,78
173,7/13/2021,12:00 p.m.,74
174,7/14/2021,8:00 a.m.,70
175,7/14/2021,12:00 p.m.,67
176,7/15/2021,8:00 a.m.,63
177,7/15/2021,12:00 p.m.,60
178,7/16/2021,8:00 a.m.,57
179,7/16/2021,12:00 p.m.,52
180,7/17/2021,8:00 a.m.,48
181,7/17/2021,12:00 p.m.,43
182,7/18/2021,5:00 a.m.,103
183,7/19/2021,8:00 a.m.,89
184,7/19/2021,12:00 p.m.,85
185,7/20/2021,8:00 a.m.,82
186,7/20/2021,12:00 p.m.,77
187,7/21/2021,8:00 a.m.,72
188,7/21/2021,12:00 p.m.,68
189,7/22/2021,8:00 a.m.,111
190,7/22/2021,12:00 p.m.,165
191,7/23/2021,8:00 a.m.,513
192,7/23/2021,12:00 p.m.,179
193,7/24/2021,8:00 a.m.,108
194,7/24/2021,12:00 p.m.,88
195,7/25/2021,5:00 a.m.,95
196,7/26/2021,8:00 a.m.,102
197,7/26/2021,12:00 p.m.,110
198,7/27/2021,8:00 a.m.,124
199,7/27/2021,12:00 p.m.,111
200,7/28/2021,8:00 a.m.,65
201,7/28/2021,12:00 p.m.,60
